blocknumber,reserve_0x6B175474E89094C44Da98b954EedeAC495271d0F,reserve_0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,reserve_0xdAC17F958D2ee523a2206206994597C13D831ec7
10809473,0,0,0
10810138,1000000000000000000,1000000,1000000
10810153,1010000000000000000,1009995,1000000
10810155,1010000000000000000,1019995,1009995
10810160,1011010000000000000,1020995,1010985
10810164,1021010000000000000,1020995,1010985
10810170,1023996482439733992,1020995,1010985
10810174,1033996482439733992,1030995,1020985
10810226,1043996482439733992,1040990,1020985
10810226,1043996482439733992,1040990,1020985
10817166,2043996482439733992,2040990,2020985
10817166,2043996482439733992,2040990,2020985
10817166,2043996482439733992,2040990,2020985
10817166,2043996482439733992,2040990,2020985
10817166,2043996482439733992,2040990,2020985
10817166,2043996482439733992,2040990,2020985
10817166,2043996482439733992,2040990,2020985
10817166,2043996482439733992,2040990,2020985
10817166,2043996482439733992,2040990,2020985
10856149,2143996482439733992,2140990,2120985
10856149,2143996482439733992,2140990,2120985
10859793,2243996482439733992,2240990,2220985
10859793,2243996482439733992,2240990,2220985
10867243,9602243996482439733992,32002240990,36002220985
10867462,9602243996482439733992,32002240990,42394090518
10867750,12914073996482439733992,32002240990,42394090518
10867977,16224229358994119177766,32002240990,42394090518
10868156,18815961731543138785609,32002240990,45059402101
10868462,27647867533424960447592,51302270990,45059402101
10868468,29665596529896017691510,51302270990,47101539752
10868528,34572284901197145355414,57445270990,47101539752
10868531,41460375539014520515989,57445270990,54092668031
10868622,41460375539014520515989,58125399285,54771930801
10868641,41460375539014520515989,58813641380,55458746071
10868720,41460375539014520515989,80590408854,55458746071
10868721,41460375539014520515989,93217939698,68046564011
10868722,44283264954838359903174,93217939698,70945756579
10868940,44283264954838359903174,99262063408,76990033220
10869044,134085072043917046353226,130644233408,162752573220
10869046,200534385148887359279314,197704802443,162752573220
10869049,203828030707710888691079,197704802443,166135413728
10869053,209886349021436378887157,203898912771,166135413728
10869196,209886349021436378887157,215153445837,177398696994
10869233,219976769021436378887157,242330775837,205592886994
10869434,223036369021436378887157,250571455837,214692886994
10869434,223036369021436378887157,250571455837,214692886994
10869491,223036369021436378887157,250937965837,214692886994
10869517,223036369021436378887157,250937965837,239692886994
10869564,223036369021436378887157,259836074982,248604285448
10869599,225038001181500900883110,259836074982,250649054712
10869619,225038001181500900883110,268424573415,259240934154
10869698,225038001181500900883110,284144273415,259240934154
10869786,228492233465814626373306,287670140342,259240934154
10870008,231267778632481293039973,290497480457,259240934154
10870086,231267778632481293039973,297364599333,266112059550
10870278,231267778632481293039973,298226277116,266974583789
10870446,231267778632481293039973,309382408526,278148687638
10870473,231267778632481293039973,316803338822,285577082508
10870641,233958153435877906730609,316803338822,288321007003
10870782,233958153435877906730609,317398778862,288916886773
10871060,240594413926756096621543,324146468396,288916886773
10871384,251733138701265900543112,324146468396,300209877521
10871628,251883138701265900543112,324156618396,300209877521
10872633,252538434505187469170563,324156618396,300872661397
10872854,252538434505187469170563,333256618396,300872661397
10872943,255757434505187469170563,333256618396,300872661397
10873025,255757434505187469170563,333256618396,350868661397
