blocknumber, ampfactor,reserve_DAI_0x6B175474E89094C44Da98b954EedeAC495271d0F,reserve_USDC_0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,reserve_USDT_0xdAC17F958D2ee523a2206206994597C13D831ec7
10809473,1,0,0,0
10810138,1,1000000000000000000,1000000,1000000
10810153,1,1010000000000000000,990005,1000000
10810155,1,1010000000000000000,1000005,990005
10810160,1,1008990000000000000,999005,989015
10810164,1,998990000000000000,999005,989015
10810170,1,996003517560266008,999005,989015
10810174,1,986003517560266008,989005,979015
10810226,1,996003517560266008,979010,979015
10817166,1,1996003517560266008,1979010,1979015
10856149,1,2096003517560266008,2079010,2079015
10859793,1,2196003517560266008,2179010,2179015
10867243,1,9602196003517560266008,32002179010,36002179015
10867462,1,9602196003517560266008,32002179010,42394048548
10867750,1,12914026003517560266008,32002179010,42394048548
10867977,1,9603870641005880822234,32002179010,42394048548
10868156,1,12195603013554900430077,32002179010,39728736965
10868462,1,21027508815436722092060,51302209010,39728736965
10868468,1,19009779818965664848142,51302209010,41770874616
10868528,1,23916468190266792512046,57445209010,41770874616
10868531,1,17028377552449417351471,57445209010,48762002895
10868622,1,17028377552449417351471,56765080715,49441265665
10868641,1,17028377552449417351471,57453322810,48754450395
10868720,1,17028377552449417351471,79230090284,48754450395
10868721,1,17028377552449417351471,66602559440,61342268335
10868722,1,19851266968273256738656,66602559440,58443075767
10868940,1,19851266968273256738656,60558435730,64487352408
10869044,1,109653074057351943188708,91940605730,150249892408
10869046,1,43203760952381630262620,159001174765,150249892408
10869049,1,46497406511205159674385,159001174765,146867051900
10869053,1,52555724824930649870463,152807064437,146867051900
10869196,1,52555724824930649870463,141552531371,158130335166
10869233,1,62646144824930649870463,168729861371,186324525166
10869434,1,65705744824930649870463,176970541371,195424525166
10869491,1,65705744824930649870463,177337051371,195424525166
10869517,1,65705744824930649870463,177337051371,220424525166
10869564,1,65705744824930649870463,186235160516,211513126712
10869599,1,67707376984995171866416,186235160516,209468357448
10869619,1,67707376984995171866416,194823658949,200876478006
10869698,1,67707376984995171866416,210543358949,200876478006
10869786,1,71161609269308897356612,207017492022,200876478006
10870008,1,73937154435975564023279,204190151907,200876478006
10870086,1,73937154435975564023279,197323033031,207747603402
10870278,1,73937154435975564023279,196461355248,208610127641
10870446,1,73937154435975564023279,185305223838,219784231490
10870473,1,73937154435975564023279,192726154134,212355836620
10870641,1,71246779632578950332643,192726154134,215099761115
10870782,1,71246779632578950332643,193321594174,214503881345
10871060,1,77883040123457140223577,186573904640,214503881345
10871384,1,89021764897966944145146,186573904640,203210890597
10871628,1,89171764897966944145146,186584054640,203210890597
10872633,1,89827060701888512772597,186584054640,202548106721
10872854,1,89827060701888512772597,195684054640,202548106721
10872943,1,93046060701888512772597,195684054640,202548106721
10873025,1,93046060701888512772597,195684054640,252544106721
10873476,1,93046060701888512772597,205731455398,242479286613
10873490,1,93046060701888512772597,217209870492,230992445682
10873509,1,93784278349566621416237,216461905620,230992445682
10873661,1,92798146350591521034757,217461905620,230992445682
10873751,1,92798146350591521034757,217461905620,25325557740
10873752,1,92798146350591521034757,115546883572,125424593192
10873753,1,48820257158335408063422,115546883572,169880080669
10873771,1,51377034192424708153455,115546883572,167268518651
10873830,1,51377034192424708153455,125672203572,167268518651
10873962,1,51377034192424708153455,142320512872,150596232621
10874216,1,56698688469652430925732,142320512872,145182597164
10874246,1,56698688469652430925732,142320512872,146182597164
10874307,1,56698688469652430925732,173822512872,146182597164
10874333,1,65049724924940705304333,165331330145,146182597164
10874373,1,65049724924940705304333,165331330145,146020748482
10874414,1,80049724924940705304333,183588270145,146020748482
10874520,1,80049724924940705304333,183588270145,195213668481
10874570,1,80049724924940705304333,183588270145,247209668481
10874573,1,92279581443852029530725,183588270145,234785298775
10874701,1,96826071443852029530725,212686157018,301070838525
10874779,1,97184101443852029530725,212686157018,301070838525
10874816,1,139952979431796628528416,212686157018,301070838525
10874818,1,104620972351071384458212,248397721072,301070838525
10874827,1,340886146989869777698051,667233931072,716770138525
10874828,1,301926324158112495393887,706651562542,716770138525
10874848,1,301926324158112495393887,705607960747,717814320388
10874879,1,302124544158112495393887,705607960747,717908060388
10874962,1,303775473734052793584167,703935801678,717908060388
10874971,1,303775473734052793584167,690443137392,731411293043
10874975,1,376820193734052793584167,995721157392,927225963043
10874994,1,389997484401068291131346,982345263654,927225963043
10875016,1,436041494401068291131346,1025907739575,984023563043
10875048,1,436041494401068291131346,1025919905032,984023563043
10875094,1,436041494401068291131346,1044093241686,1005650413043
10875227,1,448592954401068291131346,1074147481686,1034598073043
10875229,1,565102843959392172247681,1074147481686,1034598073043
10875232,1,455702915612057960459419,1074147481686,1145249218716
10875234,1,562269850663988973429324,1339622791686,1393288698716
10875293,1,562269850663988973429324,1339622791686,1417842298715
10875325,1,595767430663988973429324,1339622791686,1417842298715
10875402,1,601270327538411363232015,1339622791686,1417842298715
10875445,1,616270327538411363232015,1401165651686,1417842298715
10875488,1,616270327538411363232015,1390358516466,1428655833050
10875543,1,655414412952434344336359,1390358516466,1650626773050
10875560,1,685414412952434344336359,1390358516466,1650626773050
10875562,1,641487296278799394992637,1434837155868,1650626773050
10875575,1,641534306278799394992637,1434894545868,1650626773050
10875600,1,647615916278799394992637,1434894545868,1660126693050
10875629,1,647615916278799394992637,1466852101786,1660126693050
10875679,1,645309772241662005158706,1466852101786,1662467993936
10875710,1,645309772241662005158706,1477905842611,1651405540195
10875735,1,645309772241662005158706,1485809882611,1651405540195
10875751,1,649516772241662004858706,1491333882611,1657226110195
10875769,1,649516772241662004858706,1502809093099,1645744177720
10875815,1,649516772241662004858706,1508645861485,1645744177720
10875824,1,649516772241662004858706,1514791549630,1639595824002
10875895,1,649516772241662004858706,1514791549630,1714123674002
10875919,1,656300616583748178928590,1507914394927,1714123674002
10875967,1,656300616583748178928590,1562921181616,1714123674002
10875979,1,657793616583748178928590,1562921181616,1714123674002
10876005,1,711681652579483993741122,1562921181616,1714123674002
10876052,1,791587162579483993741122,1876007791616,1914531282357
10876100,1,798975122579483992741122,1892903319814,1931381282357
10876107,1,882010552579483992741122,2218861219814,2140382752357
10876130,1,2382010552579483992741122,2218861219814,2140382752357
10876131,1,1372667906169306223023503,2218861219814,3154139124540
10876132,1,1147268470689164485555570,2446611844912,3154139124540
10876134,1,1147268470689164485555570,2607650028154,2992843745784
10876180,1,1178763220689164485555570,2679235088154,3075003115784
10876184,1,1178763220689164485555570,2741585038154,3075003115784
10876189,1,1410578199373400473218811,3386671508154,3130227814488
10876191,1,1410578199373400473218811,3286954806275,3229937036877
10876193,1,1410578199373400473218811,3286954806275,3239937036877
10876198,1,1410578199373400473218811,3360967964785,3261437586877
10876199,1,1621290121079667218538988,3410967273725,3464126381296
10876201,1,1525516460347888079976495,3410967273725,3561073173757
10876207,1,1664943224391980763526871,3410967273725,3763723892599
10876209,1,1578931157180743511240280,3498007760615,3763723892599
10876225,1,1873591993932094490968328,4510359462187,3763723892599
10876227,1,1873591993932094490968328,4184608110917,4089279984816
10876228,1,1811371167474439700814975,4184608110917,4152285879366
10876236,1,1822051997474439700814975,4254036556316,4246169554953
10876254,1,2222051997474439700814975,5150878682350,5140030063635
10876263,1,2222051997474439700814975,5212695792350,5140030063635
10876271,1,2357994066332190868382787,5371923037673,5140030063635
10876272,1,2292594606688845335510683,5371923037673,5206257407887
10876293,1,2292594606688845335510683,5383199683416,5206257407887
10876301,1,2292594606688845335510683,5401123151311,5606257407886
10876308,1,2292594606688845335510683,5401123151311,5806615064718
10876313,1,2292594606688845335510683,5404414651311,5807813832322
10876345,1,2293781535161455857442869,5406217461169,5809456732322
10876346,1,2293781535161455857442869,5406217461169,5814556732322
10876350,1,2405753382862205195420802,5483382278861,5899123432322
10876364,1,2405753382862205195420802,5483382278861,5902123432322
10876391,1,2405753382862205195420802,5680261478745,5902123432322
10876395,1,2397866391657239612116283,5688261398744,5902123432322
10876404,1,2398370717627278263245110,5688583648744,5902123432322
10876426,1,2398370717627278263245110,6238583648744,5902123432322
10876427,1,2483815875745410264571202,6151879659671,5902123432322
10876452,1,2483926165745410264571202,6151991609671,5902233142322
10876471,1,2483926165745410264571202,6190996189671,5902233610290
10876478,1,2483926165745410264571202,6190996189671,6032233610290
10876487,1,2515776245745410264571202,6220559074904,6070513408713
10876501,1,2597377225460109619738098,6384662294904,6105716408713
10876503,1,2798959415460109619738098,7334025364904,7171975036100
10876504,1,2804735608784854215734770,7328157145567,7171975036100
10876507,1,2893702145418517582071404,7237832061538,7171975036100
10876511,1,2893702145418517582071404,7197979847004,7211841747377
10876537,1,2902799355418517582071404,7369326315298,7212675896229
10876541,1,2902799355418517582071404,7359534501371,7222469632589
10876542,1,2902799355418517582071404,7353862067826,7228143301595
10876545,1,2922799355418517582071404,7353862067826,7228143301595
10876559,1,2922799355418517582071404,7409972197826,7228143301595
10876576,1,2922799355418517582071404,7405321954674,7228143301595
10876580,1,2922799355418517582071404,7189308078278,7444255239977
10876583,1,3072799355418517582071404,7189308078278,7444255239977
10876584,1,2883012075901525128093919,7189308078278,7636983774169
10876637,1,2983012075901525128093919,7189308078278,7636983774169
10876646,1,2983012075901525128093919,7199346078278,7636983774169
10876672,1,3153927795901525128093919,7199346078278,7636983774169
10876675,1,3153927795901525128093919,7199346078278,7655564994169
10876677,1,2948528944233371209789301,7407775384425,7655564994169
10876682,1,2948528944233371209789301,7418771654425,7655564994169
10876709,1,3033531654233371209789301,8717481604425,8768157521026
10876710,1,3193780619968665327436360,8554288160539,8768157521026
10876750,1,3204028929968665327436360,8602567719328,8768157521026
10876759,1,3303371170384946067217400,8602567719328,9175196528560
10876767,1,6422746120384946067217400,16725976459328,17839338918560
10876825,1,6422746120384946067217400,16690767565082,17839338918560
10876872,1,6422746120384946067217400,16727191432029,17839338918560
10877202,1,7702666184922955042279446,17727191432029,17839338918560
10877203,1,6702039868996099369744335,18743634178083,17839338918560
10877219,1,6702039868996099369744335,18683629324219,17899338918560
10877221,1,6702039868996099369744335,18274942070554,18308102317979
10877225,1,6764138708996099369744335,18954484300553,19145021407978
10877237,1,6983966972731393487391394,18730709978357,19145021407978
10877242,1,6983966972731393487391394,18531664988545,19344213083301
10877245,1,7165712752731393487391394,20094384588545,21032219972154
10877255,1,7657149670826004015046417,19594260067075,21032219972154
10877270,1,9723570129574852362242261,19594260067075,21032219972154
10877271,1,8719413927105066442082208,20610712908751,21032219972154
10877281,1,8218585327127605490894915,20610712908751,21540770873602
10877318,1,8961922912737344352465303,20610712908751,22556902378027
10877320,1,8598022630918043543661409,20979991308040,22556902378027
10877364,1,8831703477888444934992330,21179991308040,22556902378027
10877385,1,8831703477888444934992330,21186427078040,22556902378027
10877389,1,8831703477888444934992330,23084408667681,23626902378026
10877390,1,8831703477888444934992330,23084408667681,23342710169415
10877412,1,8849703477888444934992330,23066116744573,23342710169415
10877434,1,8849703477888444934992330,23066116744573,23396905234831
10877519,1,8877167229996097152799148,23038209760713,23396905234831
10877522,1,8877167229996097152799148,22928309722095,23506872011094
10877603,1,8876469167916700649265462,22928309722095,23507582011094
10877660,1,8876469167916700649265462,22926744757679,23509148003487
10877668,1,9376469167916700649265462,25623970965142,26656928003486
10877672,1,9718073575230426139461540,25276438558993,26656928003486
10877747,1,10005242991240230061030167,24984678878594,26651348510628
10877780,1,10004816453046066752605932,24985112329594,26651348510628
10877810,1,10004816453046066752605932,26091112329594,26680348510628
10877829,1,10004816453046066752605932,26341077579594,26680348510628
10877861,1,10300290999330380478096128,26040899113657,26680348510628
10877905,1,10300290999330380478096128,25977842445542,26743447529646
10877950,1,10369690999330380478096128,25907388917952,26743447529646
10877968,1,10455838376979608349037884,25819958997861,26743447529646
10877971,1,10156155127967807092700459,25819958997861,27048067018357
10878113,1,10156155127967807092700459,25819958997861,27093340715583
10878129,1,10156155127967807092700459,25819958997861,28964894015583
10878140,1,10366357546173689445641635,25819958997861,28751039250879
10878159,1,10366357546173689445641635,26454992207861,28751039250879
10878165,1,10373226163938120617215639,26505908157861,28814713910879
10878200,1,10373616363938120617215639,26505908157861,29020076458915
10878326,1,10373616363938120617215639,26515898157861,29020076458915
10878379,1,10373616363938120617215639,26967374357491,29020076458915
10878418,1,10373616363938120617215639,27015365303370,29020076458915
10878494,1,10391845604698933751811265,26996829384648,29020076458915
10878654,1,10734998545865600418477932,26648150380353,29020076458915
10878951,1,10734998545865600418477932,28648150380353,29020076458915
10878963,1,10834998545865600418477932,28546472581525,29020076458915
10879070,1,10582920284639779858006926,28546472581525,29276709328769
10879240,1,10951547146606447082237875,28546472581525,28901806228938
10879275,1,10951547146606447082237875,28646472581525,28901806228938
